model,weight,vesa_size,screw_size
KQ85QNC83-N18,42.7kg,600*400,M8 11~13
KQ85QNC83-W28,42.7kg,600*400,M8 11~13
KQ83SC90AEXKR,38kg,400*300,M8 28~30
KQ83SC90-W1N,38kg,400*300,M8 28~30
KQ83SC90-W1,38kg,400*300,M8 28~30
KQ85QC70AFXKR,43.8kg,600*400,M8 11~13
KQ85QC70-W2,43.8kg,600*400,M8 11~13
KQ85QC80AFXKR,41.5kg,600*400,M8 16~18
KQ85QC80-W2,41.5kg,600*400,M8 16~18
KQ85QNC95AFXKR,41.4kg,600*400,M8 5~6
KQ85QNC95-W2,41.4kg,600*400,M8 5~6
KQ85QD60AFXKR,41.5kg,600*400,M8 11~13
KQ85QNC85AFXKR,42.7kg,600*400,M8 11~13
KQ85QNC85-W2,42.7kg,600*400,M8 11~13
KQ85QNC900FXKR,43.7kg,600*400,M8 5~6
KQ85QNC900-W2,43.7kg,600*400,M8 5~6
KQ85QC83AFXKR,41.3kg,600*400,M8 16~18
KQ85QC68-FGC,41.5kg,600*400,M8 11~13
KQ85QC68-FGCW,41.5kg,600*400,M8 11~13
KQ85QC70-FVGC,43.8kg,600*400,M8 11~13
KQ85QC70-FVGCW,43.8kg,600*400,M8 11~13
KQ85QCE1-4,41.5kg,600*400,M8 11~13
KQ85QCE1-W24,41.5kg,600*400,M8 11~13
KQ85QC75AFXKR,43.8kg,600*400,M8 11~13
KQ85QC75-W1,43.8kg,600*400,M8 11~13
KQ85QB67-W2B5,41.5kg,600*400,M8 11~13
KQ85QNC800-W18,43.7kg,600*400,M8 5~6
KQ85QNC800-W28,43.7kg,600*400,M8 5~6
KQ85QC68AFXKR,41.5kg,600*400,M8 11~13
KQ85QC70-W14,43.8kg,600*400,M8 11~13
KQ85QC70-N14,43.8kg,600*400,M8 11~13
KQ85QC70-W24,43.8kg,600*400,M8 11~13
KU85UC8000-B6,41.5kg,600*400,M8 11~13
KU85UC8070-4,41.5kg,600*400,M8 11~13
KU85UC8070-W24,41.5kg,600*400,M8 11~13
KQ85QNC85-F9,42.7kg,600*400,M8 11~13
KQ85QNC85-FW9,42.7kg,600*400,M8 11~13
KQ85QC67AFXKR,41.5kg,600*400,M8 11~13
KU85UC7030FXKR,40.2kg,600*400,M8 20~22
KU85UC7050FXKR,40.2kg,600*400,M8 20~22
KQ85QNC800FXKR,43.7kg,600*400,M8 5~6
KQ85QNC800-W2,43.7kg,600*400,M8 5~6
KQ85QNC850FXKR,43.7kg,600*400,M8 5~6
KQ85QNA900FXKR,43.1kg,600*400,M8 5~6
KQ85QNA900-W2,43.1kg,600*400,M8 5~6
KQ85QNA800FXKR,43.1kg,600*400,M8 5~6
KQ85QNA800-W2,43.1kg,600*400,M8 5~6
KQ85QNA800-6,43.1kg,600*400,M8 5~6
KQ85QNA800-W26,43.1kg,600*400,M8 5~6
KQ85QNB800FXKR,43.4kg,600*400,M8 5~6
KQ85QNC88AFXKR,42.7kg,600*400,M8 11~13
KQ85QNC88-W2,42.7kg,600*400,M8 11~13
KQ85QNB88AFXKR,42.7kg,600*400,M8 11~13
KQ85QNA85A-S6,44.5kg,600*400,
KQ85QNA85A-W6,44.5kg,600*400,
